code	athletes	athletes_codes
ATHM4X400M--BEL01	"['BORLEE Dylan', 'BORLEE Kevin', 'DOOM Alexander', 'IGUACEL Christian', 'MABILLE Florent', 'SACOOR Jonathan', 'SEGERS Daniel']"	"['1895555', '1947771', '1895568', '1895577', '1895581', '1895590', '1903107']"
ATHM4X400M--BOT01	"['EPPIE Lee Bhekempilo', 'KEBINATSHIPI Busang Collen', 'NDORI Bayapo', 'PESELA Anthony', 'SCOTCH Leungo', 'TEBOGO Letsile']"	"['4975921', '1950939', '1950897', '1951506', '1950918', '1936983']"
ATHM4X400M--BRA01	"['CARVALHO Lucas', 'HERNANDES MENDES Douglas', 'LIMA Matheus', 'SOARES LIMA Jadson Erick', 'VILAR Lucas']"	"['1952028', '1951942', '1952077', '1952006', '1952051']"
ATHM4X400M--ESP01	"['ARENAS Julio', 'CANAL Inaki', 'GARCIA David', 'GUIJARRO Manuel', 'HUSILLOS Oscar']"	"['1904052', '1904078', '1904129', '1904139', '1904146']"
ATHM4X400M--FRA01	"['ANDANT Teo', 'BIRON Gilles', 'KOUNTA Muhammad Abdallah', 'PREVOT Loic', 'SAIDY Fabrisio', 'SPILLMANN Yann']"	"['1910618', '1910644', '1910791', '1911897', '1911929', '1911947']"
ATHM4X400M--GBR01	"['DOBSON Charles', 'HARRIES Toby', 'HAYDOCK-WILSON Alex', 'HUDSON-SMITH Matthew', 'REARDON Samuel', 'CARVELL Charlie']"	"['1924409', '4663897', '1924426', '1924430', '1956853', '1924402']"
ATHM4X400M--GER01	"['AGYEKUM Emil', 'BREDAU Jean Paul', 'DAMMERMANN Fabian', 'KOCH Marc', 'PRENZ Tyrel', 'SANDERS Manuel', 'WAGNER Julian']"	"['1920082', '1920092', '1920254', '1920152', '1920366', '1920206', '1920234']"
ATHM4X400M--IND01	"['JACOB Amoj', 'RAMESH Rajesh', 'TAMILARASAN Santhosh Kumar', 'VARIYATHODI Muhammed Ajmal', 'YAHIYA Muhammed Anas']"	"['1556210', '1544338', '1544339', '1544335', '1544336']"
ATHM4X400M--ITA01	"['ACETI Vladimir', 'BENATI Lorenzo', 'BIANCIARDI Lapo', 'LOPEZ Brayan', 'MELI Riccardo', 'SCOTTI Edoardo', 'SIBILIO Alessandro', 'SITO Luca', 'RE Davide']"	"['1552155', '1568464', '1552157', '1552169', '1552171', '1552294', '1552365', '1552296', '1552177']"
ATHM4X400M--JPN01	"['KAWABATA Kaito', 'NAKAJIMA Yuki Joseph', 'SATO Fuga', 'SATO Kentaro', 'YOSHIZU Takuho']"	"['1919895', '1921553', '1921605', '1921607', '1921891']"
ATHM4X400M--NGR01	"['AMENE Dubem', 'NATHANIEL Ezekiel', 'OGAZI Samuel', 'OJELI Ifeanyi Emmanuel', 'OKEZIE Chidi', 'SUNDAY Israel Okon']"	"['1976773', '1929228', '1986723', '1928533', '1929428', '1928863']"
ATHM4X400M--POL01	"['DUSZYNSKI Kajetan', 'GRZEGORZEWICZ Patryk', 'KAROLEWSKI Marcin', 'SOLTYSIAK Daniel', 'SZWED Maksymilian', 'ZALEWSKI Karol']"	"['1573079', '1573091', '1572975', '1573174', '1573014', '1573185']"
ATHM4X400M--RSA01	"['ISAACS Gardeo', 'NENE Zakithi', 'NORTJE Antonie Matthys', 'PILLAY Lythe', 'SWART Adrian']"	"['1981070', '1981066', '1981103', '1981067', '4338221']"
ATHM4X400M--TTO01	"['JOSEPH Elijah', 'MARCHAN Jaden', 'Mc KAY Shakeem', 'QUOW Renny', 'RICHARDS Jereem']"	"['4982175', '4975207', '1911263', '1911367', '1911407']"
ATHM4X400M--USA01	"['BAILEY Christopher', 'DEADMON Bryce', 'HALL Quincy', 'LINDSEY Courtney', 'NORMAN Michael', 'NORWOOD Vernon', 'WILSON Quincy']"	"['1960604', '1960590', '1960177', '1965202', '1965289', '1960111', '4979564']"
ATHM4X400M--ZAM01	"['LUCHEMBE Kennedy', 'MBEWE Thomson', 'MULENGA Chanda', 'NYAMBE Patrick Kakozi', 'SAMUKONGA Muzala']"	"['1937604', '1938665', '1936402', '1938646', '1937531']"
ATHW4X100M--AUS01	"['CONNOLLY Ella', 'EDWARDS Kristie', 'LANE Ebony', 'LEWIS Torrie', 'MASTERS Bree', 'STOILOVA Aleksandra']"	"['1939764', '1939808', '1939761', '1939870', '1939734', '3501795']"
ATHW4X100M--BEL01	"['de NAEYER Janie', 'MEHUYS Elise', 'NKANSA Delphine', 'ROSIUS Rani', 'VINCKE Rani', 'JEHAES Marine']"	"['1895564', '1895582', '1895585', '1903105', '1895597', '1895578']"
ATHW4X100M--CAN01	"['EMMANUEL-AHYE Crystal', 'LECLAIR Marie-Eloise', 'LEDUC Audrey', 'MADOGO Jacqueline', 'McCREATH Sade']"	"['1974106', '1974168', '1974169', '1974192', '1974203']"
ATHW4X100M--CIV01	"['AHOURE-DEMPS Murielle', 'GBAI Jessika', 'KONE Maboundou', 'TA LOU-SMITH Marie-Josee', 'TIE Whitney']"	"['1564261', '1540717', '1538505', '1951507', '1539548']"
ATHW4X100M--ESP01	"['BESTUE Jael', 'GARCIA Paula', 'MOLINA-PRADOS Sonia', 'NAVERO Esther', 'PEREZ Maria Isabel', 'SEVILLA Paula']"	"['1904064', '1904124', '1904179', '1904187', '1905377', '1905421']"
ATHW4X100M--FRA01	"['GALET Chloe', 'JOSEPH Gemima', 'OLIERE Orlann', 'PARE Maroussia', 'PARISOT Helene', 'RICHARD Sarah']"	"['1910744', '1910785', '1911877', '1911883', '1911884', '1911916']"
ATHW4X100M--GBR01	"['ASHER-SMITH Dina', 'HENRY Desiree', 'HUNT Amy', 'LANSIQUOT Imani', 'NEITA Daryll', 'WILLIAMS Bianca']"	"['1924384', '1956843', '1924432', '1924446', '1924460', '1924507']"
ATHW4X100M--GER01	"['BURGHARDT Alexandra', 'HAASE Rebekka', 'JUNK Sophia', 'LUECKENKEMPER Gina', 'MAYER Lisa']"	"['1920096', '1920119', '1920142', '1920164', '1920169']"
ATHW4X100M--ITA01	"['de MASI Arianna', 'DOSSO Zaynab', 'HOOPER Gloria', 'KADDARI Dalia', 'PAVESE Alessia', 'SIRAGUSA Irene']"	"['1911081', '1552163', '1552166', '1552168', '1552174', '1552295']"
ATHW4X100M--JAM01	"['CLAYTON Tia', 'FORBES Shashalee', 'JACKSON Shericka', 'NELSON Kemba', 'REID Alana', 'FRASER-PRYCE Shelly-Ann']"	"['1890561', '1543422', '1546073', '1548352', '1890785', '1880728']"
ATHW4X100M--NED01	"['BISSCHOPS Minke', 'JIYA Tasa', 'SAMUEL Jamile', 'SEDNEY Naomi', 'van den BERG Isabel', 'van HUNENSTIJN Marije']"	"['1972075', '1972113', '1972249', '1972254', '4968848', '1972111']"
ATHW4X100M--NGR01	"['CHUKWUMA Rosemary', 'EYAKPOBEYAN Justina Tiana', 'GODBLESS Tima', 'OFILI Favour', 'OLAJIDE Olayinka']"	"['1969607', '1928894', '1969457', '1969547', '1933451']"
ATHW4X100M--POL01	"['KOTWILA Martyna', 'NIEMCZYK Magdalena', 'STEFANOWICZ Magdalena', 'SWOBODA Ewa', 'TSIMANOUSKAYA Krystsina']"	"['1573124', '1573154', '1573175', '1573013', '1573178']"
ATHW4X100M--SUI01	"['ATCHO-JAQUIER Sarah', 'FREY Geraldine', 'KAMBUNDJI Mujinga', 'KORA Salome', 'POINTET Leonie', 'van CAMP Emma']"	"['1976431', '1976527', '1977673', '1977687', '1977781', '4967517']"
ATHW4X100M--TTO01	"['AHYE Michelle-Lee', 'BERTRAND Leah', 'FREDERICK Sanaa', 'FREDERICK Sole', 'LEWIS Akilah']"	"['1907957', '1908830', '1908873', '1908875', '1911246']"
ATHW4X100M--USA01	"['DAVIS Tamari', 'HOBBS Aleia', 'JEFFERSON Melissa', ""RICHARDSON Sha'carri"", 'TERRY Twanisha', 'THOMAS Gabrielle']"	"['1960709', '1960115', '1961011', '1960181', '1965942', '1965868']"
ATHW4X400M--BEL01	"['BOLINGO Cynthia', 'CLAES Hanne', 'LAUS Camille', 'PONETTE Helena', 'SCHOEMAKER Liefde', 'VERVAET Imke']"	"['1915348', '1895561', '1895580', '1895589', '1895592', '1915358']"
ATHW4X400M--CAN01	"['CONSTANTINE Kyra', 'GALE Lauren', 'NIJJAR Jasneet', 'SHERAR Zoe', 'STIVERNE Aiyanna']"	"['1974087', '1974120', '4846949', '1974302', '1974316']"
ATHW4X400M--CUB01	"['ALMANZA Rose Mary', 'COOPER GASPAR Daily', 'DIAGO MESA Sahily', 'GOMEZ Roxana', 'PADRON Melissa', 'VEITIA Lisneidy']"	"['1556381', '1556383', '1556384', '1556388', '1954673', '1559918']"
ATHW4X400M--ESP01	"['AVILES Carmen', 'CAMBLOR Barbara', 'HERVAS Blanca', 'SANTIDRIAN Eva', 'SEGURA Berta']"	"['1904055', '1904077', '1904144', '1905417', '1905419']"
ATHW4X400M--FRA01	"['BROSSIER Amandine', 'DEAU Alexe', 'GREBO Shana', 'ISCAYE Diana', 'SYLLA Sounkamba', 'VEYSSIERE Marjorie']"	"['1910657', '1910704', '1910763', '1910780', '1911949', '1911976']"
ATHW4X400M--GBR01	"['ANNING Amber', 'JOHN Yemi Mary', 'KELLY Hannah', 'NIELSEN Laviai', 'NIELSEN Lina', 'OHURUOGU Victoria', 'WILLIAMS Jodie', 'YEARGIN Nicole']"	"['1924383', '1924437', '1956846', '1924464', '1924463', '1924470', '1924506', '1924509']"
ATHW4X400M--GER01	"['BULMAHN Luna', 'DEMES Eileen', 'KWAYIE Lisa Marie', 'MAYER Mona', 'SCHIER Skadi', 'SCHMIDT Alica']"	"['1920295', '1920102', '1920158', '1920170', '1920269', '1920296']"
ATHW4X400M--IND01	"['DANDI Jyothika Sri', 'KIRAN Pahal', 'MACHETTIRA Poovamma Raju', 'RAMRAJ Vithya', 'VENKATESAN Subha']"	"['1544423', '1544479', '4667034', '1564579', '1544421']"
ATHW4X400M--IRL01	"['ADELEKE Rhasidat', 'BECKER Sophie', 'CADDEN Lauren', 'HEALY Phil', 'MAWDSLEY Sharlene', 'McGRORY Kelly']"	"['1543327', '1956267', '3568176', '1957887', '1981295', '1546052']"
ATHW4X400M--ITA01	"['ACCAME Ilaria Elvira', 'BONORA Alessandra', 'BORGA Rebecca', 'KABO Fatoumata', 'MANGIONE Alice', 'POLINARI Anna', 'TREVISAN Giancarla']"	"['1552154', '1552159', '1552160', '4968750', '1552170', '1552175', '1552299']"
ATHW4X400M--JAM01	"['BROMFIELD Junelle', 'KNIGHT Andrenette', 'McPHERSON Stephenie Ann', 'PRYCE Nickisha', 'WILLIAMS Ashley', 'WILLIAMS Stacey Ann', 'YOUNG Charokee']"	"['1890259', '1890624', '1548337', '1890745', '1553914', '1553753', '1935607']"
ATHW4X400M--NED01	"['de WITTE Lisanne', 'KLAVER Lieke', 'SAALBERG Eveline', 'van de WIEL Anne', 'van der SCHOOT Myrte']"	"['1972288', '1972115', '1972248', '4980004', '1972251']"
ATHW4X400M--NOR01	"['ERIKSEN Josefine Tomine', 'ERTZGAARD Astri', 'IUEL Amalie', 'JAEGER Henriette', 'KLOSTER Line', 'SLETTUM Elisabeth']"	"['3522950', '3522948', '1878347', '1878348', '1878358', '3522949']"
ATHW4X400M--POL01	"['FORMELLA Aleksandra', 'KACZMAREK Natalia', 'KUS Anastazja', 'POPOWICZ-DRAPALA Marika', 'SWIETY-ERSETIC Justyna', 'WRONA-KUTRZEPA Alicja']"	"['1573084', '1573098', '1573127', '1572997', '1573012', '1573025']"
ATHW4X400M--SUI01	"['FAHR Annina', 'GIGER Yasmin', 'GUBELMANN Catia', 'HUESLER Salome', 'NIEDERBERGER Julia', 'SENN Giulia', 'WERNLI Lena']"	"['1976512', '1976537', '1976551', '1976571', '1977773', '1977861', '1977910']"
ATHW4X400M--USA01	"['BROWN Kaylyn', 'BUTLER Aaliyah', 'ELLIS Kendall', 'HAYES Quanera', 'HOLMES Alexis', 'LITTLE Shamier']"	"['1960650', '4979555', '1960984', '1961016', '1960909', '1960179']"
ATHX42KWALKTAUS01	"['COWLEY Rhydian', 'MONTAG Jemima']"	"['1939848', '1939791']"
ATHX42KWALKTAUS02	"['TINGAY Declan', 'HENDERSON Rebecca']"	"['1939758', '1939846']"
ATHX42KWALKTBRA01	"['BONFIM Caio', 'LYRA Viviane']"	"['1951928', '1952175']"
ATHX42KWALKTCAN01	"['DUNFEE Evan', 'LUNDMAN Olivia']"	"['1974102', '1974186']"
ATHX42KWALKTCHN01	"['ZHANG Jun', 'YANG Jiayu']"	"['1918996', '1919002']"
ATHX42KWALKTCHN02	"['HE Xianghong', 'QIEYANG Shijie']"	"['1918995', '1919008']"
ATHX42KWALKTCOL01	"['ROMERO Mateo', 'ARENAS Lorena']"	"['1965718', '1532951']"
ATHX42KWALKTCOL02	"['HERRERA Cesar', 'MOJICA CHALARCA Laura Cristina']"	"['1543481', '1917388']"
ATHX42KWALKTCZE01	"['HLAVAC Vit', 'MARTINKOVA Eliska']"	"['1892108', '1892131']"
ATHX42KWALKTECU01	"['PINTADO Brian Daniel', 'MOREJON Glenda']"	"['1929767', '1930407']"
ATHX42KWALKTESP01	"['LOPEZ Miguel Angel', 'MONTESINOS Cristina']"	"['1904159', '1904182']"
ATHX42KWALKTESP02	"['MARTIN Alvaro', 'PEREZ Maria']"	"['1904165', '1905369']"
ATHX42KWALKTFRA01	"['QUINION Aurelien', 'BERETTA Clemence']"	"['1911900', '1910636']"
ATHX42KWALKTGER01	"['LINKE Christopher', 'FEIGE Saskia']"	"['1920161', '1920111']"
ATHX42KWALKTHUN01	"['VENYERCSAN Bence', 'RECSEI Rita']"	"['1928799', '1927675']"
ATHX42KWALKTIND01	"['PANWAR Suraj', 'PRIYANKA']"	"['1544360', '1556208']"
ATHX42KWALKTITA01	"['STANO Massimo', 'PALMISANO Antonella']"	"['1568473', '1568472']"
ATHX42KWALKTJPN01	"['KAWANO Masatora', 'OKADA Kumiko']"	"['1919901', '1921538']"
ATHX42KWALKTJPN02	"['TAKAHASHI Kazuki', 'YANAI Ayane']"	"['1921764', '1921879']"
ATHX42KWALKTMEX01	"['PALMA OLIVARES Ever Jair', 'GONZALEZ Alegna', 'ORTIZ Ricardo']"	"['1535222', '1535191', '1536600']"
ATHX42KWALKTPER01	"['RODRIGUEZ Cesar Augusto', 'GARCIA LEON Kimberly']"	"['1935518', '1935503']"
ATHX42KWALKTPOL01	"['BEN HLIMA Maher', 'CHOJECKA Olga']"	"['1573053', '1573063']"
ATHX42KWALKTSVK01	"['CERNY Dominik', 'BURZALOVA Hana']"	"['1568807', '1568805']"
ATHX42KWALKTTUR01	"['DEMIR Mazlum', 'TEKDAL Ayse']"	"['1566233', '1566068']"
ATHX42KWALKTUKR01	"['BANZERUK Ivan', 'OLYANOVSKA Lyudmila']"	"['1571574', '1571520']"
ATHX4X400M--BAH01	"['MILLER Wendell', 'RUSSELL Alonzo', 'PENN Quincy', 'VALCOURT Javonya']"	"['1908173', '1907961', '4977511', '1981426']"
ATHX4X400M--BEL01	"['BORLEE Kevin', 'DOOM Alexander', 'SACOOR Jonathan', 'VANDERBEMDEN Robin', 'BOLINGO Cynthia', 'PONETTE Helena', 'van den BROECK Naomi']"	"['1947771', '1895568', '1895590', '1915352', '1915348', '1895589', '1915349']"
ATHX4X400M--DOM01	"['KING Robert', 'SANCHEZ Erick', 'DURAN Milagros', 'MEDINA VENTURA Anabel']"	"['1899751', '4971180', '2488129', '1949932']"
ATHX4X400M--FRA01	"['ANDANT Teo', 'KOUNTA Muhammad Abdallah', 'SAIDY Fabrisio', 'SOMBE David', 'BROSSIER Amandine', 'MARAVAL Louise', 'SYLLA Sounkamba']"	"['1910618', '1910791', '1911929', '1911945', '1910657', '1911839', '1911949']"
ATHX4X400M--GBR01	"['DAVEY Lewis', 'HAYDOCK-WILSON Alex', 'JEFFERIES Ben', 'REARDON Samuel', 'ANNING Amber', 'KELLY Hannah', 'NIELSEN Laviai', 'WILLIAMS Jodie', 'YEARGIN Nicole']"	"['1924406', '1924426', '1956844', '1956853', '1924383', '1956846', '1924464', '1924506', '1924509']"
ATHX4X400M--GER01	"['BREDAU Jean Paul', 'SANDERS Manuel', 'WOLF Yannick', 'DEMES Eileen', 'MAYER Mona', 'SCHMIDT Alica']"	"['1920092', '1920206', '1920244', '1920102', '1920170', '1920296']"
ATHX4X400M--IRL01	"['BARR Thomas', ""O'DONNELL Christopher"", 'BECKER Sophie', 'MAWDSLEY Sharlene', 'McCANN Rachel', 'McGRORY Kelly']"	"['1544445', '1544448', '1956267', '1981295', '3568177', '1546052']"
ATHX4X400M--ITA01	"['ACETI Vladimir', 'SCOTTI Edoardo', 'SITO Luca', 'MANGIONE Alice', 'POLINARI Anna', 'TREVISAN Giancarla']"	"['1552155', '1552294', '1552296', '1552170', '1552175', '1552299']"
ATHX4X400M--JAM01	"['BARNES Zandrion', 'HAYLES Reheem', 'BROMFIELD Junelle', 'KNIGHT Andrenette', 'WILLIAMS Ashley']"	"['1562999', '1959452', '1890259', '1890624', '1553914']"
ATHX4X400M--KEN01	"['KAPIRANTE David Sanayek', 'MWERESA Boniface Ontuga', 'CHEBET Mercy', 'MUTUA Veronica Kamumbe']"	"['1878753', '1910403', '1910399', '1910417']"
